offering_id,course_id,term_code,instructor,meeting_days,start_time,end_time,location,delivery_mode
2025F-COMP-8110-A,MAC-COMP-8110,2025F,Faculty-4,Tue|Thu,14:30,15:50,Lambton-120,in-person
2025S-COMP-8110-A,MAC-COMP-8110,2025S,Faculty-17,Tue,18:00,21:00,Erie-2014,in-person
2024F-COMP-8110-A,MAC-COMP-8110,2024F,Faculty-4,Tue|Thu,14:30,15:50,Erie-1012,in-person
2025F-COMP-8150-A,MAC-COMP-8150,2025F,Faculty-2,Mon|Wed,10:00,11:20,Lambton-120,in-person
2025S-COMP-8150-A,MAC-COMP-8150,2025S,Faculty-1,Tue,18:00,21:00,Erie-2014,in-person
2025W-COMP-8150-A,MAC-COMP-8150,2025W,Faculty-8,Mon|Wed,13:00,14:20,Erie-1012,in-person
2025S-COMP-8220-A,MAC-COMP-8220,2025S,Faculty-16,Thu,18:00,21:00,Erie-2014,hybrid
2024F-COMP-8220-A,MAC-COMP-8220,2024F,Faculty-3,Mon|Wed,10:00,11:20,Odette-2104,hybrid
2025F-COMP-8220-A,MAC-COMP-8220,2025F,Faculty-19,Tue|Thu,14:30,15:50,Erie-2014,hybrid
2025W-COMP-8250-A,MAC-COMP-8250,2025W,Faculty-6,Mon|Wed,13:00,14:20,Erie-1012,in-person
2026W-COMP-8250-A,MAC-COMP-8250,2026W,Faculty-6,Mon|Wed,13:00,14:20,Lambton-120,in-person
2025F-COMP-8250-A,MAC-COMP-8250,2025F,Faculty-20,Mon|Wed,10:00,11:20,Erie-1012,in-person
2026W-COMP-8340-A,MAC-COMP-8340,2026W,Faculty-13,Tue|Thu,09:00,10:20,Erie-1012,in-person
2025W-COMP-8340-A,MAC-COMP-8340,2025W,Faculty-14,Mon|Wed,13:00,14:20,Erie-1012,in-person
2025S-COMP-8340-A,MAC-COMP-8340,2025S,Faculty-17,Tue,18:00,21:00,Odette-2104,in-person
2025W-COMP-8470-A,MAC-COMP-8470,2025W,Faculty-6,Mon|Wed,13:00,14:20,Lambton-120,hybrid
2024F-COMP-8470-A,MAC-COMP-8470,2024F,Faculty-18,Tue|Thu,14:30,15:50,Odette-2104,hybrid
2026W-COMP-8470-A,MAC-COMP-8470,2026W,Faculty-15,Tue|Thu,09:00,10:20,Erie-2014,hybrid
2025F-COMP-8650-A,MAC-COMP-8650,2025F,Faculty-14,Mon|Wed,10:00,11:20,Odette-140,hybrid
2026W-COMP-8650-A,MAC-COMP-8650,2026W,Faculty-9,Mon|Wed,13:00,14:20,Odette-140,hybrid
2025W-COMP-8650-A,MAC-COMP-8650,2025W,Faculty-2,Mon|Wed,13:00,14:20,Odette-140,hybrid
2026W-COMP-8720-A,MAC-COMP-8720,2026W,Faculty-5,Tue|Thu,09:00,10:20,Odette-140,online
2025W-COMP-8720-A,MAC-COMP-8720,2025W,Faculty-18,Tue|Thu,09:00,10:20,Odette-140,online
2025S-COMP-8720-A,MAC-COMP-8720,2025S,Faculty-3,Thu,18:00,21:00,Erie-2014,online
2025W-COMP-8780-A,MAC-COMP-8780,2025W,Faculty-8,Tue|Thu,09:00,10:20,Odette-140,in-person
2025F-COMP-8780-A,MAC-COMP-8780,2025F,Faculty-19,Mon|Wed,10:00,11:20,Odette-2104,in-person
2025S-COMP-8780-A,MAC-COMP-8780,2025S,Faculty-8,Tue,18:00,21:00,Lambton-120,in-person
2024F-COMP-8830-A,MAC-COMP-8830,2024F,Faculty-6,Mon|Wed,10:00,11:20,Lambton-120,in-person
2025S-COMP-8830-A,MAC-COMP-8830,2025S,Faculty-19,Tue,18:00,21:00,Odette-2104,in-person
2025F-COMP-8830-A,MAC-COMP-8830,2025F,Faculty-7,Mon|Wed,10:00,11:20,Erie-2014,in-person
2024F-COMP-8890-A,MAC-COMP-8890,2024F,Faculty-1,Tue|Thu,14:30,15:50,Lambton-120,in-person
2025W-COMP-8890-A,MAC-COMP-8890,2025W,Faculty-12,Tue|Thu,09:00,10:20,Erie-2014,in-person
2025S-COMP-8890-A,MAC-COMP-8890,2025S,Faculty-6,Tue,18:00,21:00,Odette-2104,in-person
2025S-BUSI-7500-A,MAC-BU-7500,2025S,Faculty-9,Thu,18:00,21:00,Erie-2014,in-person
2026W-BUSI-7500-A,MAC-BU-7500,2026W,Faculty-3,Mon|Wed,13:00,14:20,Erie-1012,in-person
2025W-BUSI-7500-A,MAC-BU-7500,2025W,Faculty-6,Mon|Wed,13:00,14:20,Erie-1012,in-person
2025S-BUSI-7600-A,MAC-BU-7600,2025S,Faculty-19,Thu,18:00,21:00,Odette-2104,online
2025F-BUSI-7600-A,MAC-BU-7600,2025F,Faculty-12,Mon|Wed,10:00,11:20,Odette-140,online
2024F-BUSI-7600-A,MAC-BU-7600,2024F,Faculty-14,Mon|Wed,10:00,11:20,Erie-2014,online
2026W-BUSI-7700-A,MAC-BU-7700,2026W,Faculty-3,Tue|Thu,09:00,10:20,Erie-1012,in-person
2024F-BUSI-7700-A,MAC-BU-7700,2024F,Faculty-13,Tue|Thu,14:30,15:50,Erie-2014,in-person
2025F-BUSI-7700-A,MAC-BU-7700,2025F,Faculty-2,Tue|Thu,14:30,15:50,Erie-2014,in-person
