student_id,cumulative_gpa,last_term_gpa,technical_strength,analytical_strength,communication_strength,risk_flag
STU-0001,3.30,3.52,3,4,3,none
STU-0002,3.26,3.33,3,3,3,none
STU-0003,3.38,3.36,3,2,3,none
STU-0004,3.22,3.00,3,3,3,none
STU-0005,3.24,3.32,3,3,3,none
STU-0006,3.33,3.13,3,4,3,none
STU-0007,3.35,3.74,3,2,3,none
STU-0008,3.42,3.73,3,4,3,none
STU-0009,2.89,2.89,2,2,2,co-op-risk
STU-0010,3.30,3.22,3,3,3,none
STU-0011,3.38,3.06,3,2,2,none
STU-0012,3.45,3.03,3,3,4,none
STU-0013,3.26,3.64,3,3,3,none
STU-0014,2.83,2.76,2,3,3,none
STU-0015,3.43,3.44,3,3,3,none
STU-0016,3.43,3.37,3,3,4,none
STU-0017,3.18,3.16,3,2,2,none
STU-0018,3.34,3.46,3,3,3,none
STU-0019,3.46,3.79,3,3,3,none
STU-0020,3.18,3.04,3,3,2,none
STU-0021,3.71,3.80,4,3,3,none
STU-0022,3.16,3.12,3,3,2,none
STU-0023,3.21,3.36,3,2,2,none
STU-0024,3.43,3.46,3,3,4,none
STU-0025,3.34,3.26,3,3,3,none
STU-0026,3.44,3.46,3,2,3,none
STU-0027,3.15,3.56,3,3,3,none
STU-0028,3.50,3.83,3,3,3,none
STU-0029,3.18,3.33,3,3,3,none
STU-0030,3.00,3.23,3,3,2,none
STU-0031,3.02,2.89,3,3,3,none
STU-0032,3.22,3.19,3,4,4,none
STU-0033,3.16,3.39,3,3,3,none
STU-0034,3.68,3.57,4,3,3,none
STU-0035,3.24,2.89,3,2,2,none
STU-0036,3.24,3.24,3,4,4,none
STU-0037,3.13,3.12,3,3,3,none
STU-0038,3.37,3.35,3,4,3,none
STU-0039,3.22,3.33,3,3,3,none
STU-0040,3.61,3.58,4,3,3,none
STU-0041,3.41,3.28,3,3,3,none
STU-0042,3.27,3.26,3,3,3,none
STU-0043,3.36,3.92,3,3,5,none
STU-0044,3.04,3.20,3,2,3,none
STU-0045,3.07,3.04,3,3,3,none
STU-0046,3.37,3.54,3,3,4,none
STU-0047,3.38,3.40,3,3,3,none
STU-0048,3.49,3.47,3,3,4,none
STU-0049,3.04,2.83,3,2,2,none
STU-0050,3.13,2.98,3,3,3,none
STU-0051,3.35,3.17,3,4,4,none
STU-0052,3.14,3.19,3,3,3,none
STU-0053,3.21,2.93,3,2,2,none
STU-0054,3.34,3.07,3,2,3,none
STU-0055,3.33,4.00,3,3,3,none
STU-0056,3.42,3.63,3,3,3,none
STU-0057,3.26,2.67,3,2,3,performance-drop
STU-0058,3.34,3.21,3,3,3,none
STU-0059,3.41,3.35,3,3,3,none
STU-0060,3.12,3.01,3,4,3,none
STU-0061,3.01,3.01,3,3,3,none
STU-0062,3.47,3.36,3,3,4,none
STU-0063,3.34,3.33,3,3,3,none
STU-0064,3.33,2.99,3,3,3,none
STU-0065,3.62,3.50,4,3,3,none
STU-0066,3.25,3.28,3,3,3,none
STU-0067,3.45,3.58,3,3,3,none
STU-0068,3.08,3.12,3,4,2,none
STU-0069,3.05,3.11,3,2,2,none
STU-0070,3.37,3.23,3,3,3,none
STU-0071,3.46,3.12,3,3,3,none
STU-0072,3.65,3.63,4,3,3,none
STU-0073,3.19,3.05,3,3,3,none
STU-0074,3.33,3.27,3,2,2,none
STU-0075,3.46,3.67,3,3,3,none
STU-0076,2.88,2.83,2,2,2,none
STU-0077,3.21,2.52,3,3,2,performance-drop
STU-0078,3.23,3.39,3,3,3,none
STU-0079,3.32,3.49,3,3,3,none
STU-0080,3.36,3.42,3,4,4,none
STU-0081,3.19,2.94,3,3,2,none
STU-0082,3.62,3.69,4,4,4,none
STU-0083,3.29,3.00,3,3,3,none
STU-0084,3.10,2.89,3,3,2,none
STU-0085,3.63,3.75,4,3,3,none
STU-0086,3.29,3.24,3,3,3,none
STU-0087,2.99,3.08,2,3,3,none
STU-0088,3.37,3.54,3,3,3,none
STU-0089,3.20,3.13,3,3,3,none
STU-0090,3.70,3.54,4,3,3,none
STU-0091,3.23,3.28,3,3,3,none
STU-0092,3.57,3.82,4,3,5,none
STU-0093,3.37,3.62,3,3,3,none
STU-0094,3.26,3.28,3,3,3,none
STU-0095,3.46,3.58,3,2,3,none
STU-0096,3.23,3.51,3,3,2,none
STU-0097,3.40,3.64,4,3,2,none
STU-0098,3.22,2.87,3,3,2,none
STU-0099,3.49,2.54,3,3,4,performance-drop
STU-0100,3.32,3.54,3,5,4,none
STU-0101,3.11,2.41,3,2,2,performance-drop
STU-0102,3.18,3.59,3,3,4,none
STU-0103,3.28,3.33,3,3,3,none
STU-0104,3.34,3.00,3,3,3,none
STU-0105,3.28,3.23,3,2,2,none
STU-0106,3.23,2.92,3,3,2,none
STU-0107,3.43,3.79,3,4,4,none
STU-0108,3.34,3.29,3,3,3,none
STU-0109,3.21,3.21,2,3,3,none
STU-0110,3.36,3.28,3,2,3,none
STU-0111,3.43,3.78,3,3,3,none
STU-0112,3.54,3.38,4,4,4,none
STU-0113,3.44,3.16,3,3,3,none
STU-0114,3.63,3.66,4,3,3,none
STU-0115,3.43,3.19,3,3,3,none
STU-0116,3.11,3.08,3,3,3,none
STU-0117,3.24,3.09,3,3,3,none
STU-0118,3.45,3.44,3,3,3,none
STU-0119,3.42,3.49,3,3,4,none
STU-0120,3.46,3.40,3,3,3,none
