student_id,preference_type,preference_value,weight,source
STU-0001,career_goal,data-analyst,0.68,survey
STU-0001,delivery_mode,hybrid,0.72,survey
STU-0001,time_of_day,evening,0.25,survey
STU-0001,skills_to_build,cloud-computing|devops,0.41,advisor_note
STU-0002,career_goal,cybersecurity-analyst,0.76,survey
STU-0002,delivery_mode,in-person,0.40,survey
STU-0002,time_of_day,morning,0.52,survey
STU-0002,skills_to_build,leadership|communication,0.71,advisor_note
STU-0003,career_goal,ai-specialist,0.86,survey
STU-0003,delivery_mode,hybrid,0.66,survey
STU-0003,time_of_day,afternoon,0.50,survey
STU-0003,skills_to_build,data-analytics|visualization,0.59,advisor_note
STU-0004,career_goal,product-manager,0.67,survey
STU-0004,delivery_mode,hybrid,0.78,survey
STU-0004,time_of_day,morning,0.57,survey
STU-0004,skills_to_build,leadership|communication,0.83,advisor_note
STU-0005,career_goal,software-architect,0.70,survey
STU-0005,delivery_mode,hybrid,0.55,survey
STU-0005,time_of_day,morning,0.21,survey
STU-0005,skills_to_build,cloud-computing|devops,0.81,advisor_note
STU-0006,career_goal,ai-specialist,0.78,survey
STU-0006,delivery_mode,hybrid,0.41,survey
STU-0006,time_of_day,morning,0.59,survey
STU-0006,skills_to_build,data-analytics|visualization,0.50,advisor_note
STU-0007,career_goal,ai-specialist,0.88,survey
STU-0007,delivery_mode,hybrid,0.72,survey
STU-0007,time_of_day,afternoon,0.58,survey
STU-0007,skills_to_build,leadership|communication,0.44,advisor_note
STU-0008,career_goal,cybersecurity-analyst,0.82,survey
STU-0008,delivery_mode,hybrid,0.68,survey
STU-0008,time_of_day,morning,0.50,survey
STU-0008,skills_to_build,leadership|communication,0.47,advisor_note
STU-0009,career_goal,product-manager,0.98,survey
STU-0009,delivery_mode,hybrid,0.77,survey
STU-0009,time_of_day,afternoon,0.50,survey
STU-0009,skills_to_build,leadership|communication,0.79,advisor_note
STU-0010,career_goal,cloud-engineer,0.83,survey
STU-0010,delivery_mode,in-person,0.66,survey
STU-0010,time_of_day,morning,0.55,survey
STU-0010,skills_to_build,cloud-computing|devops,0.55,advisor_note
STU-0011,career_goal,ai-specialist,0.75,survey
STU-0011,delivery_mode,online,0.79,survey
STU-0011,time_of_day,evening,0.20,survey
